,Date,Gas (in British pence per therm),electricity (in British pounds per megawatt hour),date
0,Sep '15,41.04,42.04,Sep-15
1,Oct '15,39.56,40.29,Oct-15
2,Nov '15,35.9,38.01,Nov-15
3,Dec '15,34.03,35.07,Dec-15
4,Jan '16,32.05,36.95,Jan-16
5,Feb '16,29.66,33.85,Feb-16
6,Mar '16,29.6,34.76,Mar-16
7,Apr '16,29.44,34.37,Apr-16
8,May '16,30.41,34.61,May-16
9,Jun '16,34.2,37.51,Jun-16
10,Jul '16,34.3,38.4,Jul-16
11,Aug '16,30.36,36.51,Aug-16
12,Sep '16,28.36,51.13,Sep-16
13,Oct '16,42.83,56.03,Oct-16
14,Nov '16,48.12,67.54,Nov-16
15,Dec '16,46.53,49.87,Dec-16
16,Jan '17,53.39,53.37,Jan-17
17,Feb '17,51.01,49.49,Feb-17
18,Mar '17,41.02,41.99,Mar-17
19,Apr '17,39.73,42.1,Apr-17
20,May '17,39.29,41.24,May-17
21,Jun '17,34.84,39.68,Jun-17
22,Jul '17,36.21,43.05,Jul-17
23,Aug '17,42.57,43.34,Aug-17
24,Sep '17,46,47.17,Sep-17
25,Oct '17,45.4,46.68,Oct-17
26,Nov '17,52.95,51.45,Nov-17
27,Dec '17,58.29,56.18,Dec-17
28,Jan '18,50.44,50.84,Jan-18
29,Feb '18,58.96,53.68,Feb-18
30,Mar '18,64.3,56.79,Mar-18
31,Apr '18,50.94,50.74,Apr-18
32,May '18,55.58,54.25,May-18
33,Jun '18,54.97,54,Jun-18
34,Jul '18,57.93,57.61,Jul-18
35,Aug '18,62.83,61.94,Aug-18
36,Sep '18,73.72,67.69,Sep-18
37,Oct '18,66.53,64.76,Oct-18
38,Nov '18,64.37,62.19,Nov-18
39,Dec '18,63.74,64.32,Dec-18
40,Jan '19,57.71,62.55,Jan-19
41,Feb '19,47.09,50.27,Feb-19
42,Mar '19,39.31,44.96,Mar-19
43,Apr '19,34.98,43.87,Apr-19
44,May '19,31.43,41.35,May-19
45,Jun '19,27.96,39.4,Jun-19
46,Jul '19,29.6,41.86,Jul-19
47,Aug '19,27.75,39.62,Aug-19
48,Sep '19,24.87,37.32,Sep-19
49,Oct '19,25.65,37.74,Oct-19
50,Nov '19,38.04,46.04,Nov-19
51,Dec '19,32.14,39.94,Dec-19
52,Jan '20,27.9,35.93,Jan-20
53,Feb '20,23.5,32.04,Feb-20
54,Mar '20,22.92,33.22,Mar-20
55,Apr '20,13.75,24.01,Apr-20
56,May '20,11.59,24.13,May-20
57,Jun '20,13.18,28.42,Jun-20
58,Jul '20,13.24,31.28,Jul-20
59,Aug '20,20.22,37.88,Aug-20
60,Sep '20,29.9,45.3,Sep-20
61,Oct '20,38.23,44.65,Oct-20
62,Nov '20,37.57,46.83,Nov-20
63,Dec '20,45.69,59.57,Dec-20
64,Jan '21,59.01,90.94,Jan-21
65,Feb '21,45.94,56.46,Feb-21
66,Mar '21,44.96,57.18,Mar-21
67,Apr '21,54.77,69.38,Apr-21
68,May '21,65.2,78.04,May-21
69,Jun '21,72.01,79.31,Jun-21
70,Jul '21,90.88,94.51,Jul-21
71,Aug '21,110.04,108.58,Aug-21
72,Sep '21,162.1,230.66,Sep-21
73,Oct '21,213.76,192.47,Oct-21
74,Nov '21,201.09,209.55,Nov-21
75,Dec '21,270.96,262.52,Dec-21
76,Jan '22,203.75,206.88,Jan-22
77,Feb '22,187.77,166.93,Feb-22
78,Mar '22,313.57,263.79,Mar-22
